model,metric,mean,std,ci_lo,ci_hi,n_seeds
naive_lag1,MAE,0.5137209681166442,0.0428651055407865,0.4662946428571429,0.5717418076675947,5
naive_lag1,RMSE,0.9214004150890501,0.05036057065665294,0.8620157077713082,0.9869344529407856,5
naive_lag1,sMAPE,0.6867911464350783,0.039834821565503956,0.6554350798743247,0.7468838418035532,5
naive_lag1,MASE,0.9224575575107036,0.025023562681280406,0.8927621833843031,0.9517960484427038,5
naive_lag1,pinball_loss,0.19495058103754526,0.013124888101524835,0.17900545634920637,0.2117204790461912,5
naive_lag1,crps,0.3899011620750905,0.02624977620304967,0.35801091269841273,0.4234409580923824,5
naive_lag1,coverage,0.9175286954005433,0.033149340014505216,0.8891329803482334,0.9673234811165845,5
naive_lag1,width,2.4,0.8944271909999159,2.0,3.8,5
naive_lag1,winkler,3.476710620099786,0.5221242332464334,3.0386904761904763,4.272049689440993,5
naive_lag1,train_time_s,3.128999992441095e-06,3.4621378796878303e-07,2.712100081225799e-06,3.5698000260708797e-06,5
naive_lag1,inference_time_s,9.996600010708789e-06,8.528823174004174e-07,8.923300026708602e-06,1.107589995399394e-05,5
seasonal_naive_lag7,MAE,0.5250096665660144,0.04583799138410168,0.4628720238095238,0.5710189548083101,5
seasonal_naive_lag7,RMSE,0.9401876046913384,0.050928313859490544,0.8642242307821117,0.9811388525442756,5
seasonal_naive_lag7,sMAPE,0.705644426786615,0.050695178569747944,0.6505594419965037,0.7642523150371704,5
seasonal_naive_lag7,MASE,0.9426527026933677,0.036332530221429245,0.8882104979256402,0.9766165527889517,5
seasonal_naive_lag7,pinball_loss,0.1976207403958052,0.01292981638553595,0.17955109126984128,0.2097500356964375,5
seasonal_naive_lag7,crps,0.3952414807916104,0.0258596327710719,0.35910218253968257,0.419500071392875,5
seasonal_naive_lag7,coverage,0.9193286736315682,0.029424955041419208,0.8934464412992567,0.9639573070607553,5
seasonal_naive_lag7,width,2.4,0.8944271909999159,2.0,3.8,5
seasonal_naive_lag7,winkler,3.4979088544135424,0.5333078007686101,3.072172619047619,4.3204808310130645,5
seasonal_naive_lag7,train_time_s,3.7744000110251365e-06,5.069065935525666e-07,3.3227000358238003e-06,4.448399977263762e-06,5
seasonal_naive_lag7,inference_time_s,6.520399961118528e-06,3.665047989901542e-07,6.088700047257589e-06,6.940799914900709e-06,5
ewma,MAE,0.4720095371928612,0.033195491338382455,0.4292308987937118,0.5120506430058984,5
ewma,RMSE,0.7396460013030215,0.045265426076519275,0.6759118656895085,0.7848688892953115,5
ewma,sMAPE,1.7563709834322683,0.038681516427126424,1.7199411474947675,1.8106399392810093,5
ewma,MASE,0.8481990837429455,0.023293160101693588,0.8199549289590249,0.8741684938374419,5
ewma,pinball_loss,0.1621184068367214,0.011258173427119813,0.1471923466289929,0.1750476023992858,5
ewma,crps,0.3242368136734428,0.022516346854239627,0.2943846932579858,0.3500952047985716,5
ewma,coverage,0.8831010358403937,0.025923593400756235,0.8538285306995215,0.9174107142857143,5
ewma,width,1.8494042976930234,0.12708553309068182,1.707837001590956,1.9987861096119814,5
ewma,winkler,2.608023306523892,0.12144288181972275,2.479109866853306,2.7594341992311002,5
ewma,train_time_s,0.0009678875999725278,8.727090751629285e-05,0.0008861623999223411,0.0010854434999941986,5
ewma,inference_time_s,4.817359997559834e-05,5.097723676308391e-06,4.349949998641023e-05,5.4637199946228064e-05,5
croston,MAE,0.47434356952242435,0.033181003822834676,0.43096411881601887,0.5140833463320602,5
croston,RMSE,0.7378895531508151,0.049453535630712336,0.6659313257161937,0.7848219659474626,5
croston,sMAPE,1.7448988920943005,0.029220587925975317,1.7218471734944376,1.7877322293137126,5
croston,MASE,0.8524571625879698,0.025615261760903143,0.8225339984408454,0.8833619962537049,5
croston,pinball_loss,0.16876158299182623,0.011545197084976082,0.15214725700417497,0.1807969882722677,5
croston,crps,0.33752316598365245,0.023090394169952164,0.30429451400834995,0.3615939765445354,5
croston,coverage,0.8906470652261692,0.026278081545229776,0.8639624274513796,0.9262854064039409,5
croston,width,1.7498573399543975,0.132112421701164,1.625338690740276,1.9358297761969108,5
croston,winkler,2.629310659140259,0.14892928522652588,2.4315516632773932,2.8010296639205037,5
croston,train_time_s,3.1055999897944274e-06,3.4593396215782495e-07,2.7434999879005774e-06,3.5763000255428778e-06,5
croston,inference_time_s,0.051239442000019154,0.013035757903455474,0.042150008599969625,0.07048145520006983,5
ridge_target_only,MAE,0.490444973481526,0.03497824416744713,0.4541089549650785,0.5327914873508763,5
ridge_target_only,RMSE,0.6904065451999086,0.04262344092647738,0.633090833260495,0.7342128574624833,5
ridge_target_only,sMAPE,1.6289701829904928,0.04160709274213358,1.5793961517482955,1.6798461673850156,5
ridge_target_only,MASE,0.8810604728597756,0.006290919317667096,0.8720566529921647,0.8874863185575689,5
ridge_target_only,pinball_loss,0.15827174814859252,0.011012662110128722,0.14362403956297035,0.17053638126226983,5
ridge_target_only,crps,0.31654349629718503,0.022025324220257443,0.2872480791259407,0.34107276252453966,5
ridge_target_only,coverage,0.8706501074696844,0.0310741349574916,0.8337911108848386,0.906557881773399,5
ridge_target_only,width,1.8025761051628013,0.16814392304034687,1.6738619802484282,2.0396945425797712,5
ridge_target_only,winkler,2.467791708526851,0.12851120212478667,2.3130921299063956,2.6137347500488275,5
ridge_target_only,train_time_s,0.003282456000033562,0.002507529880225836,0.002017160300033538,0.007217801099977805,5
ridge_target_only,inference_time_s,0.0003385409999737021,4.769311173247026e-05,0.0002916366000135895,0.0004062205999503021,5
ridge_source_only,MAE,0.4825154286279546,0.027314944425301052,0.44959234740657833,0.5150669937194298,5
ridge_source_only,RMSE,0.6863205688949148,0.04018080257441534,0.6326881172696186,0.7288302420585244,5
ridge_source_only,sMAPE,1.638826329250358,0.03593516447084302,1.6003111739777995,1.6883712454381714,5
ridge_source_only,MASE,0.8675644859155259,0.01679113299445124,0.8510013068534262,0.8863445268627979,5
ridge_source_only,pinball_loss,0.1577355655400213,0.009660828836600216,0.14538038508987172,0.16913627752279567,5
ridge_source_only,crps,0.3154711310800426,0.019321657673200432,0.29076077017974344,0.33827255504559134,5
ridge_source_only,coverage,0.8771935204821476,0.030590116693530005,0.8498039914468994,0.9147244458128079,5
ridge_source_only,width,1.8321827952270773,0.1898231651324751,1.6669737483234268,2.0805663425934955,5
ridge_source_only,winkler,2.4879821989946143,0.12148858813294261,2.3873737424739723,2.647258317571382,5
ridge_source_only,train_time_s,1.3684000123248553e-06,2.6278276053419587e-07,1.1092000249846023e-06,1.7262999335798666e-06,5
ridge_source_only,inference_time_s,0.0003225617999987662,3.876164568019814e-05,0.0002640746999759358,0.00035771689995272026,5
