name,MAE,RMSE,sMAPE,MASE,pinball_loss,crps,coverage,width,winkler,train_time_s,inference_time_s
naive_lag1,0.5326354679802956,0.9465389377046953,0.6947923883207717,0.9028607768715176,0.20121100164203617,0.40242200328407235,0.9722906403940886,4.0,4.357142857142857,2.4619998839625623e-06,9.116000001085922e-06
seasonal_naive_lag7,0.5603448275862069,0.9813532428193826,0.7403271687621605,0.9498304126625212,0.20829228243021344,0.4165845648604269,0.9692118226600985,4.0,4.41871921182266,2.8560000373545336e-06,5.618999921352952e-06
ewma,0.4901676859013162,0.7723199057235932,1.7250297610605563,0.8308744052819033,0.1690006277183361,0.3380012554366722,0.8860837438423645,2.0039121884600632,2.766580568150125,0.0009656419999828358,5.216099998506252e-05
croston,0.49163775091126494,0.7706725296760272,1.7217106719475728,0.8333662859708983,0.17417705127031327,0.34835410254062654,0.8990147783251231,1.9533277305494852,2.8117505657310042,2.7300000056129647e-06,0.05267100100013522
ridge_target_only,0.5190660675916801,0.7249338435287727,1.5994409059718435,0.8798595309668807,0.1657713747102241,0.3315427494204482,0.895935960591133,2.0558873938522564,2.6179944383601685,0.002072771000030116,0.0004107790000489331
ridge_source_only,0.5017567053599624,0.7175541825437536,1.6172325475558085,0.8505187431839364,0.16389607674829074,0.3277921534965815,0.9039408866995073,2.092431033503722,2.6547232733003594,1.1680001534841722e-06,0.0002904410000610369
ridge_transfer,0.4906548287167114,0.7202717533308655,1.6405334090394819,0.8317001522837371,0.1657970633714756,0.3315941267429512,0.9064039408866995,2.0570339969843503,2.657781240943974,1.269999984288006e-06,0.0002848999999969237
random_forest,0.4863709829219781,0.7346003913291727,1.547366547789929,0.824438682526763,0.1672670811956116,0.3345341623912232,0.9224137931034483,2.472391798941799,2.9364878804346413,1.7140402160000576,0.1348646030000964
gradient_boosting,0.4948330388376076,0.7236705412723717,1.6317316740354824,0.8387825609148956,0.1635512346229908,0.3271024692459816,0.9039408866995073,2.1599849254477137,2.7288151365293154,0.5869612460001008,0.005382767999890348
qr_target_only,0.4491628632870222,0.9144350249380373,1.9945768025775292,0.8156967092712433,0.14267192319182817,0.28534384638365634,0.8903940886699507,1.2745025257840195,2.09029605420511,0.42101044500009266,0.0002507680001144763
qr_transfer,0.44731315622978685,0.8312772367787621,1.8612065620264162,0.8123375714550375,0.15639037118628546,0.3127807423725709,0.8928571428571429,1.7503111326976146,2.6203874949174377,0.45369301699997777,0.00025618499989832344
